description,business_tags,sector,category,niche,insurance_label,insurance_label_scores,pred_status,top1_score,gap_top1_top2,human_ok,notes
Valiant Artificial Lift Solutions is a global company that specializes in providing technologies and services for oil and gas production.,"['Oilfield System Integration', 'Oilfield Service Provider', 'Oilfield Equipment Maintenance', 'Production Optimization Solutions', 'Energy Sector Services', 'Well Performance Improvement', 'Oilfield Engineering Expertise', 'Well Downtime Reduction', 'Oil Production Engineering', 'Artificial Lift Systems', 'Lift System Reliability', 'Energy Production Support', 'Lift System Installation', 'Production Challenge Solutions']",Manufacturing,Heavy Construction Equipment,Support Activities for Oil and Gas Operations,Oil and Fat Manufacturing,0.1032,confident,0.1031929098185017,0.0248229817954268,,
The company is a business analyst and English translator with experience in the industrial laundry sector. They offer their services to start or complement similar projects.,"['Digital Transformation Services', 'Digital Transformation in Industrial Laundry']",Services,Dry Cleaners,Industrial Launderers,Digital Marketing Services,0.1028,confident,0.1028244538874134,0.0342374081505603,,
"Integrity Aviation System is a company founded in 2011 that provides Flight Support services to foreign and local air operators in Mexico and the Caribbean. Their services include Aircraft Handling, Fuel, Representation, Coordination, Supervision, VIP assistance, Catering, Hotac, and Ground Transportation. They aim to be a leader in the aeronautical industry by constantly innovating and maintaining high-quality standards. The company prides itself on being a strategic business partner for their clients and adding value to their operations. They are a member of the National Business Aviation Association, which they consider an essential business partner. The team at IAS has extensive experience in customer service, management solutions, and flight operations, which allows them to go beyond the expectations of their customers. They deliver outstanding services for commercial and general aviation operators flying to any airport and cover what is necessary in any airport as well as the local emergency services for an expedited and safe transition of the patient during critical operations.","['Catering Services', 'Ground Handling Services', 'VIP Care Services', 'Landing Permit Services', 'Aircraft Maintenance', 'Representation & Supervision', 'Supervision Services', 'International Civil Aviation Services', 'Representation Services', '336411 Aircraft Manufacturing', 'Ground Transportation Booking', 'Ground Transportation Services', 'Jet A1, 100LL Fuel', 'Aircraft Handling Services', 'Personal Assistance Services', 'Fueling Service', 'Flight Support Services', 'Overflight and Landing Permits Services']",Services,Airline Companies,Nonscheduled Chartered Passenger Air Transportation,Catering Services,0.1020,confident,0.1019950874823122,0.0322320317890061,,
"X.E.X GROUP is a Vietnamese company that exclusively distributes TEIN brand high-quality automobile fender products from Japan. With over 10 years of experience, they are the official supplier and distributor of these products in Vietnam. Their team of highly skilled technicians, trained by overseas experts, is dedicated to providing the best quality and reliable products to meet the needs of their customers. X.X Group offers a wide range of fender covers for various car models, including Toyota, Mazda, Honda, Nissan, and Mazda6, among others. They also provide accessories such as seat covers, armrests, and carpeting to enhance the comfort and safety of their clients' vehicles.","['12-month Guaranteed Tire Protection Products', 'Automotive Parts Distribution', 'Authorized Distributor', 'MAZDA CX5 STREET ADVANCE Z', 'Authorised Distributor of Automotive Tires', 'Supply & Distribution']",Manufacturing,Auto Parts Manufacturers,Motor Vehicle Seating and Interior Trim Manufacturing,Trim Manufacturing,0.1007,confident,0.100714177562045,0.0614432239224209,,
"The company is a paint dealer located in Karur, Tamil Nādu, India. It operates as both a paint store and a painting store, specializing in the sale of paintings.","['Asian Paint Distributor', 'Varnishes Manufacturer', 'Wholesale Supplies']",Wholesale,"Paints, Coatings, Dyes & Pigments","Paint, Varnish, and Supplies Merchant Wholesalers",Painting Services,0.1006,confident,0.1005562715081292,0.0330634321357899,,
"Kaseem Ali Telecom is a cell phone accessory store located in Pathanpura, Manglaur, Uttarakhand. The store specializes in selling accessories for cell phones.","['Retail', 'Cell Phone Accessories Store']",Services,Cable & Internet Providers,Wireless Telecommunications Carriers (except Satellite),Accessory Manufacturing,0.0996,uncertain,0.0995707740272215,0.0239558942306756,,
"The ASAAI Karate Club is a martial arts school located in the village of Veladimir in the Russian Federation. They offer karate classes for children and adults, focusing on self-defense and self-discipline through the practice of karate. The club is a member of the Russian Karate Association (Asai) and is affiliated with the Russian Self-Defense Instructors Association (Rsai) and the Russian Martial Arts Federation (Rmaf).","['Personalized Training Sessions', 'Group Classes', 'Self-defense Instruction', 'Sportsmanship Training', 'Sports Instruction', 'Karate Training for Children and Adults']",Services,Martial Arts Gyms,Other Spectator Sports,Arts Services,0.0986,uncertain,0.0986181112290608,0.0417884506184802,,
"The Alliance for Migration, Leadership and Development (Amldl) is an international non-governmental organization that focuses on implementing initiatives in Africa and the international community to promote the relationship between migration, leadership, and development. Their mission is to assist African governments, experts, and civil society actors in addressing the migration pandemic and finding ways to benefit the development processes of their countries. They also aim to provide African development actors with tools for better migration management, including competence, training on international or regional conventions, best practices, and advice to governments.","['Migration Tools', 'Peace and Security Advocacy', 'Development Initiatives', 'Non-profit Organization', 'Migration Advocacy Organization', 'Migration and Development Services', 'African Economic Development', 'Leadership Development Services', 'Support and Guidance for Migration-related Issues', 'International Conventions Training', 'Gender Budgeting Advocacy', 'Advocacy Organization', 'Non-governmental Organization']",Non Profit,Social Services & NGOs,Human Rights Organizations,Non-Profit Management; Software Development Services; Business Development Services,0.0956; 0.0920; 0.0916,uncertain,0.0956405212290543,0.0036626617684838,,
"Raw Paste is a company that specializes in producing handmade, natural, and healthy food products such as raw natural and vegetable spreads, chocolates, and pastries. Their products are made using cutting-edge technology and are powered by their own equipment. They offer a variety of spreads including cream, butter, honey, and chocolate, as well as chocolaterie items. Raw Paste is committed to using only natural ingredients and promoting a healthy lifestyle through their products, which are sugar-free and gluten-free. They also offer a range of chocolatier-certified chocolaters and chocolatières.","['Strong Body', 'Manufacturing', 'Breath of Nature', 'All-natural Essential Oils', 'Holistic Oils Manufacturer', 'Green Energy', 'Sugar-free Options', '100% Natural Soy Wax', 'Hand-poured Soy Candles', 'Handcrafted Soy Products', 'Deep Cleaning', 'Production', 'Gift Sets', 'Recovery', 'Handmade with Love']",Manufacturing,Bakeries & Desserts,Chocolate and Confectionery Manufacturing from Cacao Beans,Confectionery Manufacturing,0.0907,uncertain,0.0907026097485998,0.0594556401257023,,
"The Mere Library is a library located in Warminster, England, United Kingdom.","['Non-profit Organization', 'Accessibility Services', 'Library Services', 'Access to Resources', 'Wheelchair Accessible Entrance']",Services,Libraries,Libraries and Archives,Non-Profit Management,0.0905,uncertain,0.0904837511694864,0.0456845217125578,,
"Tandy Books is a company that produces children's books, including the award-winning children's alphabet book ""Journey from A to Z with Teacher Judy"" by Ryan Scott Tandy. The book features 25 animals, including a ghost, and takes readers on a trip to different places around the world to learn and teach the alphabet. The author, Alex Tandy, was inspired by his aunt, Teacher Judy, who passed away from cancer in 2019. The company was founded after the author's mother requested his cousin, Ryan Scott, to help with the editing, illustration, and printing of the book.","['Educational Materials', 'Educational Books', 'Childrens Alphabet Book', 'Book Illustration Services', 'Childrens Book Publishing', 'Book Publishing', 'Journey from A to Z Book']",Retail,Book Stores,Book Retailers and News Dealers,Children's Clothing Manufacturing,0.0893,uncertain,0.0893420018730824,0.0206902918047694,,
"Kentucky River Coal Corporation (Krcc) is a land holding company that was established nearly a century ago by John C. C. Mayo and W. S. Dudley. The company purchased lands and mineral rights in Eastern Kentucky and has since expanded to cover over 95,000 acres of mineral-rich land in Western Kentucky, Illinois, and Indiana. KRCC leases its properties to coal producing companies, oil & gas companies, and timber companies on a royalty basis, offering an extensive legacy of coal reserves dating back to the early days of the nation. The first coal was mined in the Hazard area in 1916, and by 1921, production had increased to 2,632,000 tons. KRCP signed its first coal lease in August of 1946 with Blue Diamond Coal Company, which has been producing coal from the property owned by KRCC to this day.","['Private and Commercial Properties', 'Renewable Energy Illinois Basin', 'Leasing Services', 'Solar Energy Properties', 'Oil and Gas Properties Development', 'Rare Earth Elements Recovery', 'Land Holding Company', 'Residential Project', 'Mineral Land', 'Wetland Mitigation', 'Community Farming Assets']",Manufacturing,Mining & Gas Exploration,Surface Coal Mining,Land Leveling Services,0.0891,uncertain,0.0890645807151268,0.014250536081834,,
"Rack Nacional is a leading company in the manufacturing, distribution, sale, and installation of metal supports for televisions, specializing in LED, LCD, and Plasma Plasma TVs. They offer a wide range of TV racks in various sizes, including 40 to 60 inches for LED, 60 to 90 inches for plasma, 26 to 43 inches for TV racks, and 40 to 70 inches for both mobile and fixed TV racks. In addition to TV racks and pedestals, they also offer racks for monitors, projectors, and bicycles. The company guarantees strict national and international quality standards.","['Installation Services', 'Projector Racks', 'Metal Racks for Monitors and Laptops', 'Racks Manufacturer', 'Distribution Services', 'Metal Supports for TV Stands Manufacturer', 'Plate Work Fabrication', 'Metal Fabrication Services']",Manufacturing,Metal Fabrication Services,All Other Miscellaneous Fabricated Metal Product Manufacturing,Sheet Metal Services,0.0888,uncertain,0.0888043525594215,0.0458615098705575,,
"The company specializes in the production and sale of promotional films and advertising materials in Moscow, Russia. They offer a wide range of products, including printed and screen-printed films, as well as design and production services for advertising surfaces. They also provide special production and custom projects, including the production of plastic films of various sizes. The company offers a variety of films, such as those for cars, food, coffee, and clothing, among others. They are known for their affordable prices and delivery services.","['Custom-made Projects', 'Custom Project Services', 'Custom Projects for Stretcher Manufacturing', 'Stretching Services', 'Design and Production', 'Stainless Steel Spiral Staircases Manufacturer', 'Stretched Stretchers for Heavy-duty Trucks Manufacturer', 'Staircase Installation Services', 'Custom Stretched Stretches for Large-scale Projects']",Manufacturing,Plastics Products,All Other Plastics Product Manufacturing,Plastic Manufacturing; Advertising Services,0.0873; 0.0810,uncertain,0.087250316281411,0.0062281656728997,,
"Photobooks is a photography company based in the New York area, founded by Taralynn Rhodes. With over a decade of experience, Rhodes has worked with various photographic styles, including freelancing for models and musicians in Los Angeles and showcasing her street and documentary photography in galleries. Her love for realism and capturing fleeting moments is evident in her work, which has taken her to various cities worldwide to photograph people, places, and cultures.","['Photo Realism', 'Freelance Work', 'Street Photography', 'Photography Services', 'Documentary Photography']",Services,Photographers & Photographic Studios,Photofinishing Laboratories (except One-Hour),Street Cleaning Operations,0.0853,uncertain,0.0853048548619268,0.073193965537082,,
"Anhua Supply Chain Co., Ltd. is a Chinese cross-border e-commerce one-stop service platform that provides logistics, warehousing, and software services to global cross-merchandising enterprises and brand manufacturers. The company offers a full range of logistics services, including domestic and international logistics, overseas warehousing and storage, order management, and pre-sales and after-sale services. Anhua Supply chain Co.,ltd. has four major business business platforms, with over 20 domestic subsidiaries, 50 overseas branches, and more than 50 agents. The platform is committed to providing high-quality products and services, with a focus on logistics and warehousing as the foundation.","['Cross-border Logistics Services', 'International Logistics Services Provider', 'Warehousing Services']",Services,Trucking and Logistics,"General Freight Trucking, Long-Distance, Truckload",E-Commerce Services,0.0795,uncertain,0.0794894835763423,0.0153660339902786,,
"Carter BloodCare is an independent, nonprofit 501(c)(3) organization that operates as a community blood center in Texas. They provide transfusion resources to over 200 medical facilities in 50+ counties across North, Central, and East Texas. With a focus on saving lives, Carter BloodCare delivers more than 440,000 blood products annually to meet hospitals' patient requirements. Their services include collection, processing, specialized laboratory testing, storage, and distribution of blood and blood products.","['Special Donations', 'Medical Consultations', 'Non-profit Organization', 'Reference and Transplantation', 'Donation Notification', 'Donor Rewards', 'Donation Transfusions', 'Cell Therapy', 'Blood Center', 'Non-profit Blood Center', 'Blood Collection and Processing', 'Medical Facility', 'Specialized Lab Testing', 'Blood Donation Organization', 'Mobile Hard Drives']",Services,Blood Banks & Donation Centers,Blood and Organ Banks,Non-Profit Management,0.0780,uncertain,0.0779538686262246,0.0378658814394574,,
"The XV Kazakhstan Karavrgyurs Club of Kazakhstan Republic of Kazakhstan is a non-profit organization that offers international membership to individuals interested in the development of medicine and the improvement of patient care. The club aims to provide a platform for young people to showcase their talents and participate in competitions, with the goal of improving the health and well-being of its members. The organization offers a variety of programs, including a summer camp for young men and women, as well as a medical program that includes regular medical check-ups. The Karavrs Club of Kazakhstani Republic of Kazakhstan is a member of the Kazakhstan Medical Association.","['Technological Advancements', 'Medical Science and Technology', 'Modern Teaching Methods', 'Medical Technology Innovation', 'Technologically Advanced Teaching Methods', 'Medical Research and Education']",Services,Clinics - Surgeons & Physicians,All Other Miscellaneous Ambulatory Health Care Services,Medical Gas Installation Services,0.0777,uncertain,0.07767116286968,0.021108997415495,,
"Shree Sai Infotech is a computer repair service located in Pandri, India. They specialize in providing complete IT and networking solutions for laptops, desktops, LED, network, and CCTV systems.","['Desktop Computers', 'Computer Repair Services', 'Product Sales', 'Networking Solutions Provider', 'IT Solutions Provider']",Services,Computer Repair & Service,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Boiler Repair Services,0.0767,uncertain,0.0766849596584505,0.0516193455606767,,
"TOP International Holding is a global leader in the energy and resources industry, specializing in the export of bauxite and coal in major parts of Asia Pacific and Guinea, West Africa. The company offers an end-to-end service that includes exploration, mining, marketing, trading, logistics, and delivery of its comprehensive trading portfolio, which comprises vital commodities such as bauxites, coal, copper cathode, iron ore, and nickel. In addition to owning bauxited concessions and trading coal, TOP aims to diversify into other commodities to become a key player in the industry. The management team has extensive experience in commodity trading and asset management, with a focus on bauxits, coking coal, iron ores, manganese, and manganecite.","['Decarbonization Projects', 'Investment in Tech Companies', 'Mining Exploration Services', 'Business Portfolio Expansion', 'Core Strengthening', 'Business Refinement', 'Commodity Trading Services', 'Logistics Services', 'Copper Cathode Exporter', 'Innovation and Talent Development', 'Strategic Direction Maintenance', 'Sustainable Business Portfolio', 'Minerals and Energy Resources Company', 'Exploration Services', 'Coal Exporter', 'Global Producer and Supplier', 'Marketing Services', 'Teamwork Enhancement', 'Responsible Business Practices', 'Bauxite Production/sales/supplying', 'Innovation Organization', 'Talentertainment Services', 'Mining Services']",Manufacturing,"Minerals, Earths & Ores",Other Metal Ore Mining,Marketing Services,0.0766,uncertain,0.0766469962395114,0.0188005247967739,,
"Guangzhou Hongbao Biping Biping Machinery Co., Ltd. is a company located in Pingtang County, Guangdong Province, China. They offer a range of products and services including home cleaning, artificial leather, fashion accessories, advertising materials, mirrors, natural fibers, pressure-sensitive components, fragrances, floor cleaning, and window cleaning. The company is committed to providing high-quality products and excellent customer service to its clients.","['Ceiling Tiebacks Supplier or Manufacturer', 'Sandpaper Supplier Services', 'Hose & Tubing', 'Installation Repair Materials Supplying/manufacturing/supplying', 'Cable Wall Paneling Supplier, Manufacturer', 'Hose Clamps', 'Heat Exchangers Manufacturer', 'Waste Handling Processes Supplier Services', 'Product Distribution', 'Pipe Clamp Manufacturer', 'Food and Drink Supplier', 'Air Conditioning Repair Materials and Manufacturer']",Manufacturing,Leather Processing,Other Leather and Allied Product Manufacturing,Street Cleaning Operations,0.0765,uncertain,0.076511020343222,0.004040818981478,,
"Studio Joseph Producciones is a record company based in Cutervo, Cajamarca, Peru.",['Record Distribution Services'],Services,Art & Music Publishers,Sound Recording Studios,Arts Services,0.0762,uncertain,0.0762169644311669,0.0650186290354963,,
"Quanzhou Teddy New Material Technology Co. Ltd. (Putian Teddy Industry and Trade Co., Ltd.) is a Chinese company that specializes in materials used for sanitary products, manufacturing and sales of related equipment, and providing services in manufacturing technologies. The company's elastic waist products are recognized by top large and medium-sized manufacturers both domestically and internationally, and they have participated in the development of new products for their partners. Their main domestic partners include Hengan (China) Sanitary Products Co.,Ltd., Hunan Kangcheng Nursing Products Co, Chiaus (Fujian) Industrial Co, Quanzhou Jiahua Sanitary products Co, and Baron (China).","['Elastic Waist Trouser Manufacturer', 'Non-stop of Spandex', 'Magic S', 'Sanitary Products Design and Manufacturing', 'Manufacturing Services']",Manufacturing,Chemicals,All Other Miscellaneous Chemical Product and Preparation Manufacturing,Chemical Manufacturing,0.0745,uncertain,0.0744819150026021,0.0348955120051163,,
"Ichiban Buffet BKK is a buffet restaurant located in Phnom Penh, Cambodia. They offer a variety of buffet-style dishes for lunch and dinner, including sushi, sashimi, and BBQ. The restaurant also hosts events such as mini concerts and buy 4 get 4 movie tickets deals. Customers can enjoy a free lobster for unlimited eating for groups of 6 people or more on Lobster Day. The buffet is known for its good quality food and reasonable prices.","['Lunch Buffet', 'Food and Beverage Services', 'Takeout Services', 'Sukiyaki Soup', 'Tender Meat Options', 'Dessert Options', 'Dinner Options', 'Unlimited Food', 'Parking Facilities', 'Ice Cream Desserts', 'Credit Card Payment', 'BBQ Dishes', 'Bathroom Facilities', 'Catering Services', 'All-you-can-eat Dining Experience', 'Birthday Celebrations for Children', 'Wheelchair Accessible Dining', 'Free-standing KTV Rooms', 'Alcoholic Beverages']",Services,Fast food Restaurants,"Cafeterias, Grill Buffets, and Buffets",Catering Services,0.0741,uncertain,0.0740731379395168,0.0191791240437718,,
"Naranjas a Saco is a company categorized under agricultural production. It is located in Xirivella, Valencian Community, Spain.","['Agricultural Production', 'Food Retail', 'Direct-to-consumer Sales', 'Other Non-citrus Fruit Farming Services', 'Sustainable Agriculture', 'Food Delivery Services', 'Fresh and Natural Noodling Delivery']",Manufacturing,Farms & Agriculture Production,Citrus (except Orange) Groves,Agricultural Equipment Services,0.0666,uncertain,0.0666089689454245,0.0061647515024933,,
"Bodegas de Almacenamiento en Quito is a company that provides storage solutions for businesses in Quito, Ecuador. Their warehouses adhere to government regulations and have been certified in Good Practices of Storage (BPA) to ensure compliance with current regulations for the storage of consumer products such as pharmaceuticals, medicines, cosmetics, and food. They offer different options for storing inventory according to the growth or contract of the business, with the ability to increase or decrease the amount of square meters used. Bodegas have implemented the Co-Warehousing and Co-Working model to optimize the use of warehouses and offices, along with a virtual community of advice, support, and follow-up to help clients optimize their allocated spaces and reduce operational costs. They also optimize any resources that can be shared among their clients, helping them reduce wasteful and unnecessary expenses.","['Compliance with Regulations', 'Advanced Technology, Applications, and Disruptive Processes', 'Refurbished Warehouses', 'Warehousing', 'Co-warehousing and Co-working Model Implementation', 'I3 Zoning for High-impact Industries']",Services,Warehousing & Storage,Refrigerated Warehousing and Storage,Compliance Services,0.0666,uncertain,0.0665601761329781,0.0500783065710192,,
"Volvon is a marketplace for Volvo products in Russia that brings together all suppliers of auto parts for Volvo cars in one place. The company operates from the Volvo-Obuhovo warehouse in Moscow and is an official partner of the Volvo Group, offering a wide selection of original spare parts. The parts catalog has over a million items, including transmission, brake system, optics, wheels, tires, and exhaust system. Additionally, Volvon provides the latest presentations of VOLVO cars and SUVs.","['Electric Equipments', 'E-commerce Platform', 'Transmission and Braking Systems', 'Online Marketplace', 'Automobiles Cooking Furniture', 'Automations Lighting Toys', 'Car Clocks', 'Original Spare Parts', 'Tire & Wheels', 'Automotive Parts and Accessories', 'Exhaust Systems', 'Automation for Optics and Laboratories', 'Volvo Marketplace']",Wholesale,Auto Parts Manufacturers,Motor Vehicle Parts (Used) Merchant Wholesalers,E-Commerce Services,0.0633,uncertain,0.0633297424556589,0.037858156085735,,
"JB Homes is a Polish company that specializes in the manufacturing of all-season mobile homes. They are dedicated to providing high-quality and functional homes that offer relaxation and the latest design trends. The company is committed to continuous development and delivery of new houses in a timely manner. JB Homes is known for its popular Letniskowo all-year-round cottages, which have gained popularity among customers over the past six years.","['4-season Mobile Homes Manufacturer', 'Used Steel', 'Relaxation and Rejuvenation', 'Manufacturing of All-year Cottages', 'High-quality Functionality']",Manufacturing,Building Material Manufacturers,Prefabricated Wood Building Manufacturing,Mobile Home Construction Services,0.0632,uncertain,0.0632257029259896,0.0274642682836826,,
"FrontPro is a company that produces a dog bedding product called the FrontPro Pet Bed Cover, which is designed to provide a comfortable and protective layer of fabric for dogs to sleep on while their owners are away. The bed covers are applied over a dog's head and foot, eliminating the need for wet blankets and preventing the growth of lice and dust mites. The product is suitable for all breeds of dogs, including puppies, and is non-toxic, making it safe for children to use. The FrontPro Bed Cover is a one-piece unit, unlike traditional dog beds that require multiple layers of fabric. It is important to note that the bed covers cannot be removed without the owner's consent and should only be used once a month.","['Retail', 'Radio Wave Tablets for Dogs', 'Pet Supplies']",Manufacturing,Appliance Stores,Small Electrical Appliance Manufacturing,Bedding Manufacturing,0.0629,uncertain,0.0628642199982902,0.0066185347995532,,
"Maharashtra Academy of Naval Education and Training (Manet) Pune is a part of the MAEER's MIT Group of Institutions, which has a 40-year legacy of providing quality education. The institute is committed to promoting a value-based education system and the latest professional techniques to offer complete satisfaction to cadets, their parents, statutory bodies, and the entire shipping industry. MANET Pune offers two streams of education: a 4-year B.Tech Marine Engineering Course and a 3-year Bachelor of Science in Nautical Science. The Ship-in-Campus is a fully operational replica of a ship's engine-room, where cadets are trained to get a feel of the actual shipboard operations. The academy aims to develop cadets into physically strong, mentally alert, intellectually sharp, and spiritually elevated individuals.","['Naval Education and Training', 'Educational Institution', 'Placement Opportunities', 'Ship-in-campus Experiences', 'Comprehensive Inspection Process', 'Personal Safety and Social Responsibilities', 'STCW Courses', 'Ship-in-campus Training', 'Diploma in Nautical Science', 'Nautical Education and Training', 'B.tech Marine Engineering Course', 'Ship Board Engine-room Operations', 'Elementary First Aid', 'B.tech Marine Engineering']",Education,Colleges & Universities,"Colleges, Universities, and Professional Schools",Training Services,0.0593,uncertain,0.0592877133225069,0.0136743236860767,,
"Daibo Sake Sales Co., Ltd. is a wholesaler of alcoholic beverages based in Takachiho City, Shizuoka Prefecture, Japan. The company delivers a wide range of liquor, refreshing drink water, and seasonings to restaurants, lodging facilities, taverns, lounges, and snack bars throughout the Shizuokai area. They offer a variety of products including Japanese beer, yakitori, beers, wines, sushi-hair, vodka, gin, and popular liqueurs. Daibo-ryu (Japanese spirits) sales aims to satisfy consumer needs by providing accurate delivery services and proposals, and they also offer products necessary for business operations.","['Refrigerated Sake Storage', 'Beverage Distribution', 'Cold Storage for Japanese Brews', 'Controlled Temperature Wines', 'Wholesale Distribution', 'Japanese Beer', 'Vodka', 'Liqueurs', 'Liquor Wholesaler', 'Sushi-hair']",Wholesale,Wine Shops & Wineries,Beer and Ale Merchant Wholesalers,Non-Alcoholic Beverage Manufacturing,0.0577,uncertain,0.0577484451934989,0.0388926516736251,,
"WP Payments is a WordPress plugin that allows businesses to accept payments through various payment methods such as credit cards, Google Pay, Apple Pay, and ACH Payments. The plugin seamlessly integrates with a website's product page, cart page, and checkout page, making it hassle-free for both the business and its customers. WP Payments offers the flexibility to enable, disable, or tweak payment methods on a website at any time with ease. The payment methods have been optimized to work consistently across different pages of a website, making the payment process easier for businesses.","['Stripe Integration', 'Credit Card Payment Plugin', 'Secure Payment Acceptance', 'Apple Pay Payment Plugin']",Services,Payment Processing & Point of Sale,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Website Development Services,0.0572,uncertain,0.0571618363018304,0.0298914730855018,,
"Bassani Exhaust is a company that specializes in providing after market high performance exhaust systems, including headers, XPipe, and stainless steel exhaust.","['Universal Components', 'Headers Manufacturer', 'High-quality Stainless Steel Exhausts', 'X-pipe Manufacturer', 'Exhaust Systems Manufacturer', 'Motorcycle Exhaust Systems', 'Race Components', 'Stainless Steel Exhausts Manufacturer', 'Automotive Parts']",Manufacturing,Auto Parts Manufacturers,Other Motor Vehicle Parts Manufacturing,Structural Steel Erection,0.0571,uncertain,0.0570923050722154,0.0082017571134413,,
"Dawiak is a family-owned service with a young practice located in Nelahozeves, specializing in car and motorcycle tire services. They offer a wide range of services including automotive repair, tire repair, balancing, and replacement, as well as the sale of tires, wheel rims, and various accessories such as oil changes, filters, and brakes. Their mechanics have extensive experience repairing various brands of cars and offer a variety of brands and types of tires to choose from. To ensure the highest quality and guarantee of their services, all parts needed for vehicle service are purchased directly from Dawiak.","['Wheel Balancing', 'Brake Disc and Pad Replacement', 'LED Car Lights', 'Motorcycle Tires', 'Renovation of Headlights', 'Caravan Maintenance and Repair Services', 'Automotive Services', 'Car Bulb Replacement', 'Oil Filter Replacement']",Manufacturing,"Breaks, Wheels & Tire Dealers",Tire Retreading,Boiler Repair Services,0.0556,uncertain,0.0556038453112765,0.0120181095787523,,
"AR Project Co., Ltd is a company based in Tokyo, Japan. It was established in February 2008 and has a capital of 3 million yen. The company is represented by Yasushi Yamada. It has three employees as of August 2015. The headquarters is located in Higashiokusacho, Arakawa Ward, Tokyo Prefecture, with a Tokyo office in Machiya Building, Fourth Floor. The group company is Rowager Limited Company, a bookkeeping agency, and R&R Co.,Ltd is an aesthetic salon. The registered trademark for the company is ""Leano,"" which is a word made up and means ""source of happiness."" The company focuses on making healthy foods made from natural materials that are gentle on the body and does not use any additives such as dyes or fragrances. They also prioritize low-cost packaging design to ensure long-term enjoyment of their products.","['Gut Beauty Products', 'Healthy Habits and Beauty Services', 'Natural Salts', 'Choo Beauty Tea', 'Coral Packs', 'Earths Healing Salt', 'Integrated Beauty Products', 'Salon Services', 'Facial Treatments']",Manufacturing,Pharmaceutical Products,Medicinal and Botanical Manufacturing,Pharmaceutical Manufacturing,0.0543,uncertain,0.0542894510467632,0.027699550820611,,
"710公海赹赌船官网官潑欢迎限公司 (China) is a hydraulic equipment production and manufacturing enterprise that specializes in the research and development, production, and sales services of hydraulic equipment. The company has expanded its research and production capabilities in recent years, with a focus on the production and manufacture of specialized hydraulic pressure motors. They have become a leading manufacturer of electric motor production lines in the North China region. The main products offered by the company include single-cylinder and double-cylindrical pressure motors, as well as industry-specific pressure motors such as 500, 600, 800, and 400-horsepower motors.","['Liquid Pressure Equipment', 'Sales Services', 'Hot Door Alarms', 'Alarm Systems', 'Research and Development', 'Production']",Manufacturing,Pumps & Hydraulics Manufacturing,Fluid Power Cylinder and Actuator Manufacturing,Alarm Installation Services,0.0542,uncertain,0.0542150701497606,0.0046694964473247,,
"HUBraum Kraftwagen UG is a German company that provides discounts, guides, and experience reports for VW T5 and VW T6 enthusiasts. The company is a community for T5, T6, and T6 drivers, offering a range of services and products related to camper conversion and DIY bus building. They also provide the latest news and discounts for DIY bus builders.","['T5 Transporter Conversions', 'Community for T5 Drivers', 'Community Platform', 'Camper Conversions', 'Bus Information Provider Products', 'Event Organization', 'VW T5 Vehicles', 'Online Retail']",Manufacturing,"Motor Homes, Trailers & RVs - Dealers & Rentals",Motor Home Manufacturing,Community Engagement Services,0.0541,uncertain,0.0540663537790201,0.030573005593536,,
Tangshan Fake Bill of Exchange S is a company that specializes in professional custom-made counterfeit checks. They offer high-quality checks that do not require cash out and provide no interest.,"['Quality Check Services', 'Fake Bill of Exchange Services', 'Professional Check Services']",Services,Payment Processing & Point of Sale,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Financial Services,0.0540,uncertain,0.0539953664557585,0.0097253677252511,,
"Henan Yijin Electric Technology Co., Ltd. is a high-tech enterprise located in Henan Province, China. The company specializes in the research and development, production, manufacturing, sales, and installation of intelligent automation control products, with a focus on door control devices. The research and technical team consists of over ten top-level professional technicians, allowing for the development of advanced technologies both domestically and internationally. The HZQC, HZQL, HJZD, HJCZ, HPS, and HJQT series of intelligent electric control devices are among the company's products.","['Modern Production Facilities', 'Control Products', 'Smart Automation Products Manufacturer', 'Research and Development', 'ISO9001 International Quality System', 'Intelligent Electric Actuators Manufacturer', 'Installation And Commissioning']",Manufacturing,Electronical Components Manufacturing,Relay and Industrial Control Manufacturing,HVAC Installation and Service,0.0521,uncertain,0.052143357318581,0.0044767869982742,,
"Stirnimann Vertrieb & Handel is a Swiss company that specializes in the production and distribution of disinfectants, nitrile gloves, and protective masks for hands and surfaces. Their products include nitriles, which are latex-free examination gloves that are well-tolerated by the skin and powder-free, and are ideal for allergy sufferers or anyone with sensitive skin problems. Nitrile Gloves are recommended for many applications, particularly for those with latex allergies. The company also offers FFP2 protective facemasks, including the Air Queen and Air Queen Nano Mask, as well as the Supreme Face Mask, which is reusable and washable up to 30 times with Sanitized antimicrobial material protection. All of their facial masks are made from soft organic cotton for superior comfort and breathability.","['Distribution Industry', 'Manufacturing', 'Protective Masks Manufacturer', 'Nitrile Gloves', 'Wholesale Distribution Services', 'Air Queen Nano Mask', 'Disinfectants Manufacturer', 'Disposable Gloves']",Manufacturing,Cleaning Equipment & Supplies,Polish and Other Sanitation Good Manufacturing,Air Duct Cleaning Services,0.0515,uncertain,0.0514800312030267,0.0324790374492013,,
